year,fips,geo_title,10xx_naics_npo_employ,10xx_naics_npo_estab,10xx_naics_npo_salary,10xx_naics_npo_wages,10xx_naics_npo_weekly,10xx_naics_percent_npo,10xx_naics_priv_employ,10xx_naics_priv_estab,10xx_naics_priv_salary,10xx_naics_priv_wages,10xx_naics_priv_weekly,10xx_naics_wage_ratio_npo,61xx_naics_npo_employ,61xx_naics_npo_estab,61xx_naics_npo_salary,61xx_naics_npo_wages,61xx_naics_npo_weekly,61xx_naics_percent_npo,61xx_naics_priv_employ,61xx_naics_priv_estab,61xx_naics_priv_salary,61xx_naics_priv_wages,61xx_naics_priv_weekly,61xx_naics_wage_ratio_npo,62xx_naics_npo_employ,62xx_naics_npo_estab,62xx_naics_npo_salary,62xx_naics_npo_wages,62xx_naics_npo_weekly,62xx_naics_percent_npo,62xx_naics_priv_employ,62xx_naics_priv_estab,62xx_naics_priv_salary,62xx_naics_priv_wages,62xx_naics_priv_weekly,62xx_naics_wage_ratio_npo,71xx_naics_npo_employ,71xx_naics_npo_estab,71xx_naics_npo_salary,71xx_naics_npo_wages,71xx_naics_npo_weekly,71xx_naics_percent_npo,71xx_naics_priv_employ,71xx_naics_priv_estab,71xx_naics_priv_salary,71xx_naics_priv_wages,71xx_naics_priv_weekly,71xx_naics_wage_ratio_npo,81xx_naics_npo_employ,81xx_naics_npo_estab,81xx_naics_npo_salary,81xx_naics_npo_wages,81xx_naics_npo_weekly,81xx_naics_percent_npo,81xx_naics_priv_employ,81xx_naics_priv_estab,81xx_naics_priv_salary,81xx_naics_priv_wages,81xx_naics_priv_weekly,81xx_naics_wage_ratio_npo
2017,f-48213,"Henderson County, Texas",752,22,47255,35536,909,0.0559357334126748,13444,1393,35071,471489,674,1.37577151508094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48215,"Hidalgo County, Texas",8178,187,40529,331444,779,0.0415196454228373,196967,12026,30036,5916149,578,1.37010243061425,3436,31,39215,134742,754,0.823585810162991,4172,120,36424,151945,700,1.67779061310059,3520,87,41355,145569,795,0.0539629005059022,65230,2107,27832,1815478,535,1.52827050997783,,,,,,,,,,,,,319,32,28008,8935,539,0.0793927327028372,4018,663,26961,108326,518,1.04239085935465
2017,f-48221,"Hood County, Texas",327,15,23752,7767,457,0.0242007104795737,13512,1357,40638,549105,782,0.578512799279051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48223,"Hopkins County, Texas",615,19,40317,24795,775,0.0581065759637188,10584,795,38889,411608,748,1.03907115795985,,,,,,,,,,,,,557,15,40823,22739,785,0.393083980239944,1417,90,35665,50529,686,1.26336149537338,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48231,"Hunt County, Texas",546,36,45588,24891,877,0.0248114150686176,22006,1383,55254,1215915,1063,0.821420205769473,,,,,,,,,,,,,387,21,56560,21889,1088,0.127051871306632,3046,172,37376,113844,719,1.63553293620959,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48245,"Jefferson County, Texas",5264,112,51619,271720,993,0.0500508685689293,105173,5709,57471,6044455,1105,0.893386870662351,,,,,,,,,,,,,4205,60,56488,237533,1086,0.255297188998846,16471,895,43742,720475,841,1.43472518541095,,,,,,,,,,,,,201,19,23531,4730,453,0.0485741904301595,4138,463,49227,203675,947,0.465665320984723
2017,f-48249,"Jim Wells County, Texas",675,36,41543,28042,799,0.0501076386311335,13471,855,44261,596260,851,0.935547798671321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48251,"Johnson County, Texas",1070,41,40592,43433,781,0.0274788772182131,38939,3010,42567,1657515,819,0.95237201445263,,,,,,,,,,,,,649,22,48224,31297,927,0.129463395172551,5013,334,36658,183766,705,1.3803131350717,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48257,"Kaufman County, Texas",589,31,58630,34533,1127,0.0239596469104666,24583,1912,41065,1009490,790,1.44291585656978,,,,,,,,,,,,,456,22,70285,32050,1352,0.161473087818697,2824,196,37695,106442,725,2.23730701894,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48259,"Kendall County, Texas",556,28,32364,17995,622,0.0404923166557425,13731,1424,48304,663256,929,0.660813459653708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48265,"Kerr County, Texas",2217,49,42798,94884,823,0.150877909350755,14694,1410,39790,584666,765,1.0902837927345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48273,"Kleberg County, Texas",484,24,45241,21897,870,0.0693211114293899,6982,551,34073,237898,655,1.36099996991667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,f-48277,"Lamar County, Texas",265,22,34257,9078,659,0.0143150388936906,18512,1158,43155,798910,830,0.791428901467021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
